,from,to
12847,Unnamed StreamRiver 38626,Hampton Brook
12848,Unnamed StreamRiver 38639,Unnamed StreamRiver 38638
12849,Unnamed StreamRiver 38649,Unnamed StreamRiver 38647
12850,Unnamed StreamRiver 38658,Unnamed StreamRiver 38655
12851,Unnamed StreamRiver 38659,Unnamed StreamRiver 38655
12852,Unnamed StreamRiver 38670,Unnamed StreamRiver 38667
12853,Unnamed StreamRiver 38671,Unnamed StreamRiver 38667
12854,Unnamed StreamRiver 38673,Unnamed StreamRiver 38667
12855,Unnamed StreamRiver 38674,Neuman Creek
12856,Unnamed StreamRiver 38678,Neuman Creek
12857,Unnamed StreamRiver 38552,South Branch Smoke Creek
12858,Unnamed StreamRiver 38553,South Branch Smoke Creek
12859,Unnamed StreamRiver 38560,Unnamed StreamRiver 38558
12860,Unnamed StreamRiver 38692,Unnamed StreamRiver 38691
12861,Unnamed StreamRiver 38696,Unnamed StreamRiver 38693
12862,Unnamed StreamRiver 38706,Unnamed StreamRiver 38704
12863,Unnamed StreamRiver 38709,Unnamed StreamRiver 38704
12864,Unnamed StreamRiver 38711,Rythus Creek
12865,Unnamed StreamRiver 38713,Rythus Creek
12866,Unnamed StreamRiver 38714,Rythus Creek
12867,Unnamed StreamRiver 38716,Rythus Creek
12868,West Branch Cazenovia Creek,Cazenovia Creek
12869,Unnamed StreamRiver 38236,Graff Brook
12870,Unnamed StreamRiver 38457,Graff Brook
12871,Unnamed StreamRiver 38472,Pipe Creek
12872,Unnamed StreamRiver 38477,Pipe Creek
12873,Unnamed StreamRiver 38460,Sprague Brook
12874,Unnamed StreamRiver 38461,Sprague Brook
12875,Unnamed StreamRiver 38462,Sprague Brook
12876,Unnamed StreamRiver 38463,Crump Brook
12877,Unnamed StreamRiver 38469,Unnamed StreamRiver 38465
12878,Unnamed StreamRiver 38470,Unnamed StreamRiver 38465
12879,Unnamed StreamRiver 38471,Unnamed StreamRiver 38465
12880,Tannery Brook,Cazenovia Creek
12881,Unnamed StreamRiver 38448,Cazenovia Creek
12882,Unnamed StreamRiver 38451,Cazenovia Creek
12883,Unnamed StreamRiver 38452,Cazenovia Creek
12884,Unnamed StreamRiver 38484,Cazenovia Creek
12885,Unnamed StreamRiver 38485,Cazenovia Creek
12886,Unnamed StreamRiver 38487,Cazenovia Creek
12887,Unnamed StreamRiver 38488,Cazenovia Creek
12888,Unnamed StreamRiver 38491,Cazenovia Creek
12889,Unnamed StreamRiver 38494,Cazenovia Creek
12890,Unnamed StreamRiver 38495,Cazenovia Creek
12891,Unnamed StreamRiver 38500,Cazenovia Creek
12892,Unnamed StreamRiver 38503,Cazenovia Creek
12893,Unnamed StreamRiver 38504,Cazenovia Creek
12894,Unnamed StreamRiver 38512,Cazenovia Creek
12895,Unnamed StreamRiver 38515,Cazenovia Creek
12896,Unnamed StreamRiver 38516,Cazenovia Creek
12897,Unnamed StreamRiver 38530,Unnamed StreamRiver 38522
12898,Unnamed StreamRiver 38536,Cazenovia Creek
12899,Unnamed StreamRiver 38537,Cazenovia Creek
12900,Unnamed StreamRiver 38538,Cazenovia Creek
12901,Unnamed StreamRiver 38539,Cazenovia Creek
12902,Unnamed StreamRiver 38540,Cazenovia Creek
12903,Unnamed StreamRiver 38541,Cazenovia Creek
12904,Unnamed StreamRiver 38543,Cazenovia Creek
12905,Unnamed StreamRiver 38544,Cazenovia Creek
12906,Unnamed StreamRiver 38545,Cazenovia Creek
12907,Unnamed StreamRiver 38547,Cazenovia Creek
12908,Unnamed StreamRiver 38548,Cazenovia Creek
12909,Unnamed StreamRiver 38549,Cazenovia Creek
12910,Unnamed StreamRiver 38550,Cazenovia Creek
12911,Ebenezer Brook,Cazenovia Creek
12912,Unnamed StreamRiver 38737,Cazenovia Creek
12913,Unnamed StreamRiver 38742,Cazenovia Creek
12914,Unnamed StreamRiver 38265,Hunter Creek
12915,Unnamed StreamRiver 38266,Hunter Creek
12916,Unnamed StreamRiver 38268,Hunter Creek
12917,Unnamed StreamRiver 38269,Hunter Creek
12918,Plum Bottom Creek,Cayuga Creek
12919,Unnamed StreamRiver 38437,Unnamed StreamRiver 38435
12920,Unnamed StreamRiver 38439,North Branch Plum Bottom Creek
12921,Unnamed StreamRiver 38440,North Branch Plum Bottom Creek
12922,Unnamed StreamRiver 38239,Unnamed StreamRiver 38738
12923,Red Brook,Cayuga Creek
12924,Unnamed StreamRiver 38245,Cayuga Creek
12925,Unnamed StreamRiver 38354,Cayuga Creek
12926,Unnamed StreamRiver 38731,Unnamed StreamRiver 38727
12927,Little Buffalo Creek,Cayuga Creek
12928,Unnamed StreamRiver 38362,Unnamed StreamRiver 38361
12929,Unnamed StreamRiver 38366,Unnamed StreamRiver 38367
12930,Unnamed StreamRiver 38372,Unnamed StreamRiver 38370
12931,Unnamed StreamRiver 38373,Unnamed StreamRiver 38370
12932,Unnamed StreamRiver 38378,Cayuga Creek
12933,Unnamed StreamRiver 38380,Cayuga Creek
12934,Unnamed StreamRiver 38381,Cayuga Creek
12935,Unnamed StreamRiver 38382,Cayuga Creek
12936,Unnamed StreamRiver 38387,Cayuga Creek
12937,Unnamed StreamRiver 38391,Cayuga Creek
12938,Unnamed StreamRiver 38393,Cayuga Creek
12939,Unnamed StreamRiver 38395,Cayuga Creek
12940,Unnamed StreamRiver 38396,Cayuga Creek
12941,Unnamed StreamRiver 38397,Cayuga Creek
12942,Unnamed StreamRiver 38398,Cayuga Creek
12943,Unnamed StreamRiver 38399,Cayuga Creek
12944,Unnamed StreamRiver 38400,Cayuga Creek
12945,Unnamed StreamRiver 38401,Cayuga Creek
12946,Unnamed StreamRiver 38402,Cayuga Creek
12947,Unnamed StreamRiver 38403,Cayuga Creek
12948,Right Branch Cayuga Creek,Cayuga Creek
12949,Unnamed StreamRiver 38405,Gillett Creek
12950,Unnamed StreamRiver 38406,Fenton Creek
12951,Unnamed StreamRiver 38413,Cayuga Creek
12952,Unnamed StreamRiver 38414,Cayuga Creek
12953,Unnamed StreamRiver 38416,Cayuga Creek
12954,Unnamed StreamRiver 38419,Cayuga Creek
12955,Unnamed StreamRiver 38420,Cayuga Creek
12956,Unnamed StreamRiver 38421,Cayuga Creek
12957,Unnamed StreamRiver 38427,Unnamed StreamRiver 38426
12958,Unnamed StreamRiver 38429,Unnamed StreamRiver 38426
12959,Unnamed StreamRiver 38433,Cayuga Creek
12960,Unnamed StreamRiver 38443,Cayuga Creek
12961,Unnamed StreamRiver 38444,Cayuga Creek
12962,Unnamed StreamRiver 38445,Cayuga Creek
12963,Unnamed StreamRiver 38446,Cayuga Creek
12964,Unnamed StreamRiver 38447,Cayuga Creek
12965,Unnamed StreamRiver 38302,Brown Brook
12966,Unnamed StreamRiver 38303,Brown Brook
12967,Unnamed StreamRiver 38304,Brown Brook
12968,Plato Creek,Brown Brook
12969,Unnamed StreamRiver 38332,Glade Creek
12970,Unnamed StreamRiver 38333,Glade Creek
12971,Unnamed StreamRiver 38237,Pond Brook
12972,Unnamed StreamRiver 38312,Beaver Meadow Creek
12973,Unnamed StreamRiver 38313,Beaver Meadow Creek
12974,Unnamed StreamRiver 38314,Beaver Meadow Creek
12975,Unnamed StreamRiver 38317,Beaver Meadow Creek
12976,Unnamed StreamRiver 38323,Beaver Meadow Creek
12977,Unnamed StreamRiver 38324,Beaver Meadow Creek
12978,Unnamed StreamRiver 38252,Unnamed StreamRiver 38251
12979,Unnamed StreamRiver 38255,Unnamed StreamRiver 38254
12980,Unnamed StreamRiver 38261,Unnamed StreamRiver 38260
12981,Unnamed StreamRiver 38273,Unnamed StreamRiver 38271
12982,Unnamed StreamRiver 38274,Unnamed StreamRiver 38271
12983,Unnamed StreamRiver 38282,Unnamed StreamRiver 38280
12984,Unnamed StreamRiver 38288,Unnamed StreamRiver 38287
12985,Unnamed StreamRiver 38295,Unnamed StreamRiver 38294
12986,Unnamed StreamRiver 38308,Unnamed StreamRiver 38307
12987,Unnamed StreamRiver 38329,Unnamed StreamRiver 38327
12988,Unnamed StreamRiver 38334,Sheldon Creek
12989,Unnamed StreamRiver 38335,Sheldon Creek
12990,Unnamed StreamRiver 38336,Sheldon Creek
12991,Unnamed StreamRiver 38337,Sheldon Creek
12992,Unnamed StreamRiver 38338,Sheldon Creek
12993,Unnamed StreamRiver 38736,Sheldon Creek
12994,Unnamed StreamRiver 38340,Stony Bottom Creek
12995,Bender Creek,Stony Bottom Creek
12996,Unnamed StreamRiver 38343,Unnamed StreamRiver 38349
12997,Unnamed StreamRiver 38346,Unnamed StreamRiver 38349
12998,Unnamed StreamRiver 38348,Unnamed StreamRiver 38349
12999,Unnamed StreamRiver 38735,Unnamed StreamRiver 38732
13000,Unnamed StreamRiver 39248,Woods Creek
13001,Unnamed StreamRiver 39251,Woods Creek
13002,Bergholtz Creek,Cayuga Creek
13003,Unnamed StreamRiver 38804,Unnamed StreamRiver 38803
13004,Unnamed StreamRiver 38815,Unnamed StreamRiver 38807
13005,Unnamed StreamRiver 38816,Unnamed StreamRiver 38807
13006,Unnamed StreamRiver 38817,Unnamed StreamRiver 38807
13007,Unnamed StreamRiver 38825,Cayuga Creek
13008,Unnamed StreamRiver 38826,Cayuga Creek
13009,Unnamed StreamRiver 38827,Cayuga Creek
13010,Unnamed StreamRiver 39243,Twomile Creek
13011,Unnamed StreamRiver 39244,Twomile Creek
13012,Unnamed StreamRiver 39245,Twomile Creek
13013,Unnamed StreamRiver 39246,Twomile Creek
13014,Unnamed StreamRiver 39247,Spicer Creek
13015,Unnamed StreamRiver 39252,Gun Creek
13016,Unnamed StreamRiver 39254,Gun Creek
13017,Unnamed ArtificialPath 9656,Chippawa Channel Niagara River
13018,Little Sixmile Creek,Chippawa Channel Niagara River
13019,Unnamed StreamRiver 39260,Chippawa Channel Niagara River
13020,Ellicott Creek,Unnamed ArtificialPath 9723
13021,Unnamed StreamRiver 38833,Unnamed StreamRiver 38830
13022,Unnamed StreamRiver 38838,Unnamed StreamRiver 38836
13023,Durkee Creek,Spring Creek
13024,Unnamed StreamRiver 38840,Spring Creek
13025,Peck Creek,Spring Creek
13026,Unnamed StreamRiver 38844,Unnamed StreamRiver 38841
13027,Unnamed ArtificialPath 9716,Unnamed StreamRiver 38846
13028,Unnamed ArtificialPath 9718,Unnamed StreamRiver 38846
13029,Unnamed StreamRiver 38853,Unnamed StreamRiver 38851
13030,Unnamed StreamRiver 38858,Crooked Creek
13031,Unnamed StreamRiver 38866,Unnamed StreamRiver 38862
13032,Unnamed StreamRiver 38874,Unnamed StreamRiver 38873
13033,Unnamed StreamRiver 38879,Unnamed StreamRiver 38873
13034,Unnamed StreamRiver 38880,Unnamed StreamRiver 38873
13035,Unnamed StreamRiver 38881,Unnamed StreamRiver 38873
13036,Unnamed CanalDitch 4117,Unnamed ArtificialPath 9723
13037,Unnamed StreamRiver 38745,Unnamed ArtificialPath 9723
13038,Unnamed StreamRiver 38750,Unnamed StreamRiver 38749
13039,Unnamed StreamRiver 38901,Unnamed StreamRiver 38749
13040,Unnamed StreamRiver 38902,Unnamed StreamRiver 38749
13041,Unnamed StreamRiver 38903,Unnamed StreamRiver 38749
13042,Unnamed StreamRiver 38904,Unnamed StreamRiver 38749
13043,Unnamed StreamRiver 38900,Unnamed StreamRiver 38898
13044,Unnamed StreamRiver 38906,Unnamed StreamRiver 38905
13045,Ledge Creek,Unnamed ArtificialPath 9723
13046,Unnamed StreamRiver 38949,Unnamed StreamRiver 38752
13047,Unnamed StreamRiver 38755,Murder Creek
13048,Unnamed StreamRiver 38951,Murder Creek
13049,Unnamed StreamRiver 38957,Murder Creek
13050,Unnamed StreamRiver 38958,Murder Creek
13051,Unnamed StreamRiver 38960,Murder Creek
13052,Unnamed StreamRiver 38961,Murder Creek
13053,Unnamed StreamRiver 38962,Murder Creek
13054,Unnamed StreamRiver 38963,Murder Creek
13055,Unnamed StreamRiver 38964,Murder Creek
13056,Unnamed StreamRiver 38967,Murder Creek
13057,Unnamed StreamRiver 38968,Murder Creek
13058,Unnamed StreamRiver 38971,Murder Creek
13059,Unnamed StreamRiver 38972,Murder Creek
13060,Unnamed StreamRiver 38978,Unnamed StreamRiver 38977
13061,Unnamed StreamRiver 38980,Murder Creek
13062,Unnamed StreamRiver 38983,Murder Creek
13063,Huron Creek,Murder Creek
13064,Unnamed StreamRiver 38986,Murder Creek
13065,Unnamed StreamRiver 38988,Murder Creek
13066,Unnamed StreamRiver 38991,Murder Creek
13067,Unnamed StreamRiver 39010,Murder Creek
13068,Unnamed StreamRiver 39011,Murder Creek
13069,Unnamed StreamRiver 39012,Murder Creek
13070,Unnamed StreamRiver 39017,Murder Creek
13071,Unnamed StreamRiver 39018,Murder Creek
13072,Unnamed StreamRiver 39020,Murder Creek
13073,Unnamed StreamRiver 39021,Murder Creek
13074,Little Tonawanda Creek,Unnamed ArtificialPath 9723
13075,Unnamed StreamRiver 39162,Unnamed StreamRiver 39161
13076,Unnamed StreamRiver 39164,Unnamed StreamRiver 39161
13077,Unnamed StreamRiver 39166,Unnamed StreamRiver 39161
13078,Unnamed StreamRiver 39169,Unnamed StreamRiver 39168
13079,Unnamed StreamRiver 39175,Middlebury Brook
13080,Unnamed StreamRiver 39180,Unnamed StreamRiver 39178
13081,Mud Creek,Unnamed ArtificialPath 9723
13082,Unnamed CanalDitch 4144,Unnamed CanalDitch 4140
13083,Unnamed StreamRiver 39216,Unnamed StreamRiver 39215
13084,Unnamed StreamRiver 39227,Unnamed StreamRiver 39225
13085,Unnamed CanalDitch 4131,Unnamed StreamRiver 39233
13086,Unnamed StreamRiver 39232,Unnamed StreamRiver 39233
13087,Unnamed StreamRiver 39234,Unnamed StreamRiver 39233
13088,Bull Creek,Unnamed ArtificialPath 9723
13089,Unnamed StreamRiver 38809,Sawyer Creek
13090,Unnamed StreamRiver 38810,Sawyer Creek
13091,Unnamed StreamRiver 38756,Unnamed ArtificialPath 9723
13092,Unnamed StreamRiver 38941,Unnamed StreamRiver 38938
13093,Unnamed StreamRiver 38946,Unnamed StreamRiver 38943
13094,Unnamed StreamRiver 38947,Unnamed StreamRiver 38943
13095,Bowen Creek,Unnamed ArtificialPath 9723
13096,Crow Creek,Unnamed ArtificialPath 9723
13097,East Fork Tonawanda Creek,Unnamed ArtificialPath 9723
13098,Unnamed StreamRiver 38770,Unnamed StreamRiver 38767
13099,Unnamed ArtificialPath 9715,Unnamed StreamRiver 38767
13100,Unnamed StreamRiver 39088,Unnamed StreamRiver 39087
13101,Unnamed StreamRiver 39092,Unnamed StreamRiver 39090
13102,Unnamed StreamRiver 39096,Unnamed StreamRiver 39090
13103,Stony Brook,Unnamed ArtificialPath 9723
13104,Unnamed StreamRiver 39113,Unnamed StreamRiver 39111
13105,Unnamed StreamRiver 39114,Unnamed StreamRiver 39111
13106,Unnamed StreamRiver 38771,Unnamed ArtificialPath 9723
13107,Unnamed CanalDitch 4134,Unnamed ArtificialPath 9723
13108,Unnamed StreamRiver 38797,Unnamed ArtificialPath 9723
13109,Unnamed StreamRiver 38893,Unnamed ArtificialPath 9723
13110,Unnamed StreamRiver 38936,Unnamed ArtificialPath 9723
13111,Unnamed StreamRiver 38937,Unnamed ArtificialPath 9723
13112,Unnamed StreamRiver 38914,Unnamed StreamRiver 38912
13113,Unnamed StreamRiver 38915,Unnamed StreamRiver 38912
13114,Unnamed StreamRiver 38917,Unnamed StreamRiver 38912
13115,Unnamed StreamRiver 38931,Unnamed StreamRiver 38928
13116,Unnamed StreamRiver 39022,Unnamed ArtificialPath 9723
13117,Unnamed StreamRiver 39028,Unnamed ArtificialPath 9723
13118,Unnamed StreamRiver 39029,Unnamed ArtificialPath 9723
13119,Unnamed StreamRiver 39030,Unnamed ArtificialPath 9723
13120,Unnamed StreamRiver 39031,Unnamed ArtificialPath 9723
13121,Unnamed StreamRiver 39043,Unnamed ArtificialPath 9723
13122,Unnamed StreamRiver 39046,Unnamed ArtificialPath 9723
13123,Tunnery Brook,Unnamed ArtificialPath 9723
13124,Unnamed StreamRiver 39056,Unnamed ArtificialPath 9723
13125,Johnson Creek,Unnamed ArtificialPath 9723
13126,Unnamed StreamRiver 39059,Unnamed ArtificialPath 9723
13127,Unnamed StreamRiver 39060,Unnamed ArtificialPath 9723
13128,Unnamed StreamRiver 39061,Unnamed ArtificialPath 9723
13129,Unnamed StreamRiver 39062,Unnamed ArtificialPath 9723
13130,Unnamed StreamRiver 39063,Unnamed ArtificialPath 9723
13131,Unnamed StreamRiver 39064,Unnamed ArtificialPath 9723
13132,Unnamed StreamRiver 39066,Unnamed ArtificialPath 9723
13133,Unnamed StreamRiver 39067,Unnamed ArtificialPath 9723
13134,Unnamed StreamRiver 39071,Unnamed ArtificialPath 9723
13135,Unnamed StreamRiver 39073,Unnamed ArtificialPath 9723
13136,Unnamed StreamRiver 39074,Unnamed ArtificialPath 9723
13137,Unnamed StreamRiver 39075,Unnamed ArtificialPath 9723
13138,Unnamed StreamRiver 39077,Unnamed ArtificialPath 9723
13139,Unnamed StreamRiver 39078,Unnamed ArtificialPath 9723
13140,Unnamed StreamRiver 39097,Unnamed ArtificialPath 9723
13141,Unnamed StreamRiver 39099,Unnamed ArtificialPath 9723
13142,Unnamed StreamRiver 39103,Unnamed ArtificialPath 9723
13143,Unnamed StreamRiver 39106,Unnamed ArtificialPath 9723
13144,Unnamed StreamRiver 39107,Unnamed ArtificialPath 9723
13145,Unnamed StreamRiver 39119,Unnamed ArtificialPath 9723
13146,Unnamed StreamRiver 39120,Unnamed ArtificialPath 9723
13147,Unnamed StreamRiver 39121,Unnamed ArtificialPath 9723
13148,Unnamed StreamRiver 39125,Unnamed ArtificialPath 9723
13149,Unnamed StreamRiver 39126,Unnamed ArtificialPath 9723
13150,Unnamed StreamRiver 39127,Unnamed ArtificialPath 9723
13151,Unnamed StreamRiver 39128,Unnamed ArtificialPath 9723
13152,Baker Brook,Unnamed ArtificialPath 9723
13153,Unnamed StreamRiver 39133,Unnamed ArtificialPath 9723
13154,Unnamed StreamRiver 39136,Unnamed ArtificialPath 9723
13155,Unnamed StreamRiver 39137,Unnamed ArtificialPath 9723
13156,Unnamed StreamRiver 39141,Unnamed ArtificialPath 9723
13157,Unnamed StreamRiver 39142,Unnamed ArtificialPath 9723
13158,Unnamed StreamRiver 39148,Unnamed StreamRiver 39145
13159,Unnamed StreamRiver 39150,Unnamed ArtificialPath 9723
13160,Unnamed StreamRiver 39186,Unnamed ArtificialPath 9723
13161,Unnamed StreamRiver 39187,Unnamed ArtificialPath 9723
13162,Unnamed StreamRiver 39191,Unnamed ArtificialPath 9723
13163,Unnamed StreamRiver 39192,Unnamed ArtificialPath 9723
13164,Unnamed StreamRiver 39193,Unnamed ArtificialPath 9723
13165,Unnamed StreamRiver 39194,Unnamed ArtificialPath 9723
13166,Unnamed StreamRiver 39195,Unnamed ArtificialPath 9723
13167,Unnamed StreamRiver 39196,Unnamed ArtificialPath 9723
13168,Unnamed StreamRiver 39197,Unnamed ArtificialPath 9723
13169,Unnamed StreamRiver 39198,Unnamed ArtificialPath 9723
13170,Unnamed StreamRiver 39199,Unnamed ArtificialPath 9723
13171,Unnamed StreamRiver 39200,Unnamed ArtificialPath 9723
13172,Unnamed StreamRiver 39201,Unnamed ArtificialPath 9723
13173,Unnamed StreamRiver 39202,Unnamed ArtificialPath 9723
13174,Unnamed StreamRiver 39208,Unnamed ArtificialPath 9723
13175,Unnamed StreamRiver 39209,Unnamed ArtificialPath 9723
13176,Black Creek,Unnamed ArtificialPath 9723
13177,Unnamed StreamRiver 39212,Unnamed ArtificialPath 9723
13178,Unnamed StreamRiver 39213,Unnamed ArtificialPath 9723
13179,Unnamed StreamRiver 39218,Unnamed ArtificialPath 9723
13180,Unnamed StreamRiver 39238,Unnamed ArtificialPath 9723
13181,Unnamed StreamRiver 39241,Unnamed ArtificialPath 9723
13182,Unnamed StreamRiver 39271,Unnamed ArtificialPath 9723
13183,Unnamed StreamRiver 39295,Unnamed ArtificialPath 9723
13184,Unnamed ArtificialPath 9722,Unnamed ArtificialPath 9723
13185,Unnamed StreamRiver 39299,Unnamed ArtificialPath 9723
13186,Unnamed StreamRiver 39986,Unnamed StreamRiver 40018
13187,Unnamed StreamRiver 39926,Unnamed StreamRiver 39922
13188,Unnamed StreamRiver 39984,Unnamed StreamRiver 39922
13189,Unnamed StreamRiver 39929,Unnamed StreamRiver 39927
13190,Unnamed StreamRiver 39931,Unnamed StreamRiver 39927
13191,Unnamed StreamRiver 39938,Unnamed StreamRiver 39936
13192,Unnamed StreamRiver 39941,Unnamed StreamRiver 39939
13193,Unnamed StreamRiver 39945,Unnamed StreamRiver 39942
13194,Unnamed StreamRiver 39946,Unnamed StreamRiver 39942
13195,Unnamed CanalDitch 4138,Unnamed CanalDitch 4137
13196,Unnamed CanalDitch 4127,Unnamed StreamRiver 39297
13197,Unnamed CanalDitch 4136,Unnamed StreamRiver 39297
13198,Unnamed StreamRiver 39264,Unnamed StreamRiver 39297
13199,Unnamed StreamRiver 39276,Unnamed StreamRiver 39297
13200,Unnamed StreamRiver 39817,East Branch Eighteenmile Creek
13201,Unnamed StreamRiver 39824,Unnamed StreamRiver 39823
13202,Unnamed StreamRiver 39830,East Branch Eighteenmile Creek
13203,Unnamed StreamRiver 39831,East Branch Eighteenmile Creek
13204,Unnamed StreamRiver 39832,East Branch Eighteenmile Creek
13205,Unnamed StreamRiver 39838,East Branch Eighteenmile Creek
13206,Unnamed StreamRiver 39839,East Branch Eighteenmile Creek
13207,Unnamed StreamRiver 39840,East Branch Eighteenmile Creek
13208,Unnamed StreamRiver 39845,East Branch Eighteenmile Creek
13209,Unnamed StreamRiver 39848,East Branch Eighteenmile Creek
13210,Unnamed StreamRiver 39849,East Branch Eighteenmile Creek
13211,Unnamed StreamRiver 39850,East Branch Eighteenmile Creek
13212,Unnamed StreamRiver 39854,East Branch Eighteenmile Creek
13213,Unnamed StreamRiver 39855,East Branch Eighteenmile Creek
13214,Unnamed StreamRiver 39856,East Branch Eighteenmile Creek
13215,Unnamed StreamRiver 39858,East Branch Eighteenmile Creek
13216,Unnamed StreamRiver 39859,East Branch Eighteenmile Creek
13217,Unnamed StreamRiver 39860,East Branch Eighteenmile Creek
13218,Unnamed StreamRiver 39864,East Branch Eighteenmile Creek
13219,Unnamed StreamRiver 39865,East Branch Eighteenmile Creek
13220,Unnamed StreamRiver 39866,East Branch Eighteenmile Creek
13221,Unnamed StreamRiver 39792,Unnamed StreamRiver 39790
13222,Unnamed StreamRiver 39799,Unnamed StreamRiver 39796
13223,Unnamed StreamRiver 39801,Unnamed StreamRiver 39796
13224,Unnamed StreamRiver 39805,Unnamed StreamRiver 39796
13225,Unnamed StreamRiver 39806,Unnamed StreamRiver 39796
13226,Unnamed StreamRiver 39811,Unnamed StreamRiver 39808
13227,Unnamed StreamRiver 39816,Unnamed StreamRiver 39814
13228,Unnamed StreamRiver 39870,Unnamed StreamRiver 39869
13229,Unnamed StreamRiver 39307,Jeddo Creek
13230,Unnamed StreamRiver 39394,Jeddo Creek
13231,Unnamed StreamRiver 39720,Jeddo Creek
13232,Unnamed StreamRiver 39721,Jeddo Creek
13233,Unnamed StreamRiver 39722,Jeddo Creek
13234,Unnamed StreamRiver 39723,Jeddo Creek
13235,Unnamed StreamRiver 39724,Jeddo Creek
13236,Unnamed StreamRiver 39697,Unnamed StreamRiver 39361
13237,Unnamed StreamRiver 39698,Unnamed StreamRiver 39361
13238,Unnamed StreamRiver 39980,Unnamed StreamRiver 39696
13239,Unnamed StreamRiver 39703,Unnamed StreamRiver 39700
13240,Unnamed StreamRiver 39710,Unnamed StreamRiver 39706
13241,Unnamed StreamRiver 39711,Unnamed StreamRiver 39706
13242,Unnamed StreamRiver 39714,Unnamed StreamRiver 39712
13243,Unnamed StreamRiver 39727,Unnamed StreamRiver 39726
13244,Unnamed StreamRiver 39731,Unnamed StreamRiver 39729
13245,Unnamed StreamRiver 39737,Unnamed StreamRiver 39735
13246,Unnamed StreamRiver 39740,Unnamed StreamRiver 39738
13247,Unnamed StreamRiver 39747,Unnamed StreamRiver 39745
13248,Unnamed StreamRiver 39749,Unnamed StreamRiver 39745
13249,Unnamed CanalDitch 4160,Unnamed StreamRiver 40000
13250,Unnamed StreamRiver 39608,Unnamed StreamRiver 39348
13251,Unnamed StreamRiver 39609,Unnamed StreamRiver 39348
13252,Unnamed StreamRiver 39612,Unnamed StreamRiver 39610
13253,Unnamed StreamRiver 39972,Unnamed StreamRiver 39610
13254,Unnamed StreamRiver 39539,Unnamed StreamRiver 39535
13255,Unnamed StreamRiver 39546,Unnamed StreamRiver 39535
13256,Unnamed StreamRiver 39547,Unnamed StreamRiver 39535
13257,Unnamed StreamRiver 39551,Unnamed StreamRiver 39549
13258,Unnamed StreamRiver 39562,Unnamed StreamRiver 39559
13259,Unnamed StreamRiver 39564,East Branch Sandy Creek
13260,Unnamed StreamRiver 39565,East Branch Sandy Creek
13261,Unnamed StreamRiver 39566,East Branch Sandy Creek
13262,Unnamed StreamRiver 39567,East Branch Sandy Creek
13263,Unnamed StreamRiver 39574,Unnamed StreamRiver 39572
13264,Unnamed StreamRiver 39579,East Branch Sandy Creek
13265,Unnamed StreamRiver 39979,East Branch Sandy Creek
13266,Unnamed StreamRiver 39982,East Branch Sandy Creek
13267,Unnamed StreamRiver 39983,East Branch Sandy Creek
13268,Unnamed StreamRiver 40009,East Branch Sandy Creek
13269,Unnamed StreamRiver 39585,Unnamed StreamRiver 39584
13270,Unnamed StreamRiver 39444,Black Creek
13271,Unnamed StreamRiver 39445,Black Creek
13272,Unnamed StreamRiver 39448,Black Creek
13273,Unnamed StreamRiver 39426,Paddy Hill Creek
13274,Unnamed StreamRiver 39424,Unnamed StreamRiver 39422
13275,Unnamed StreamRiver 39780,Unnamed StreamRiver 39777
13276,Unnamed StreamRiver 39879,Unnamed StreamRiver 39877
13277,Unnamed StreamRiver 39333,Unnamed StreamRiver 39332
13278,Unnamed StreamRiver 39643,Unnamed StreamRiver 39332
13279,Unnamed StreamRiver 39645,Unnamed StreamRiver 39332
13280,Unnamed StreamRiver 39345,Unnamed StreamRiver 39343
13281,Unnamed StreamRiver 39665,Unnamed StreamRiver 39343
13282,Unnamed StreamRiver 39666,Unnamed StreamRiver 39343
13283,Unnamed StreamRiver 39669,Unnamed StreamRiver 39343
13284,Unnamed StreamRiver 39670,Unnamed StreamRiver 39343
13285,Beardsley Creek,Marsh Creek
13286,Unnamed StreamRiver 39620,Marsh Creek
13287,Unnamed StreamRiver 39621,Marsh Creek
13288,Unnamed StreamRiver 39624,Marsh Creek
13289,Unnamed Connector 691,Unnamed CanalDitch 4174
13290,Unnamed StreamRiver 39639,Unnamed StreamRiver 39637
13291,Unnamed StreamRiver 39657,Unnamed StreamRiver 39654
13292,Unnamed StreamRiver 39662,Unnamed StreamRiver 39660
13293,Unnamed StreamRiver 39675,Fish Creek
13294,Unnamed StreamRiver 39676,Fish Creek
13295,Unnamed StreamRiver 39680,Fish Creek
13296,Unnamed StreamRiver 39683,Fish Creek
13297,Unnamed StreamRiver 39691,Unnamed StreamRiver 39690
13298,Unnamed StreamRiver 39632,Unnamed ArtificialPath 9777
13299,Unnamed StreamRiver 39633,Unnamed ArtificialPath 9777
13300,Unnamed StreamRiver 39634,Unnamed ArtificialPath 9777
13301,Unnamed StreamRiver 39635,Unnamed ArtificialPath 9777
13302,Unnamed StreamRiver 39636,Unnamed ArtificialPath 9777
13303,Unnamed ArtificialPath 9785,Unnamed ArtificialPath 9777
13304,Unnamed StreamRiver 40021,Unnamed ArtificialPath 9777
13305,Unnamed StreamRiver 39890,Unnamed StreamRiver 39889
13306,Unnamed StreamRiver 39912,Unnamed StreamRiver 39889
13307,Unnamed StreamRiver 39913,Unnamed StreamRiver 39889
